epoch,step,loss,lattice_loss,position_loss,z_loss,learning_rate,vram_mb,epoch_time_sec
1,1,4274.17529296875,0.14292143285274506,106.31867218017578,7.136157989501953,0.0009999999992443631,3951 MB,65.48
1,2,3941.46337890625,0.09073679149150848,98.13248443603516,7.090366363525391,0.0009999999969774527,3951 MB,65.48
1,3,3962.78955078125,0.053108640015125275,98.76099395751953,7.038880348205566,0.0009999999931992686,3951 MB,65.48
1,4,3111.750244140625,0.034482888877391815,77.5325927734375,6.99813175201416,0.0009999999879098107,3951 MB,65.48
1,5,2698.152099609375,0.0209501963108778,67.22815704345703,6.930929183959961,0.000999999981109079,3951 MB,65.48
1,6,1882.975341796875,0.015118539333343506,46.86561965942383,6.838780403137207,0.0009999999727970741,3951 MB,65.48
1,7,1310.5816650390625,0.016010481864213943,32.555816650390625,6.747947692871094,0.0009999999629737954,3951 MB,65.48
1,8,838.86328125,0.01478247344493866,20.76905059814453,6.623032569885254,0.0009999999516392432,3951 MB,65.48
1,9,577.2781982421875,0.016363175585865974,14.229113578796387,6.477329730987549,0.0009999999387934175,3951 MB,65.48
1,10,237.59237670898438,0.01724383607506752,5.738958835601807,6.3096418380737305,0.0009999999244363182,3951 MB,65.48
1,11,106.26902770996094,0.0141537394374609,2.4682180881500244,6.124934196472168,0.0009999999085679454,3951 MB,65.48
1,12,71.5040283203125,0.012876272201538086,1.6082438230514526,5.886651992797852,0.000999999891188299,3951 MB,65.48
1,13,24.75291633605957,0.012388421222567558,0.44548147916793823,5.694814682006836,0.0009999998722973796,3951 MB,65.48
1,14,25.30768394470215,0.011693023145198822,0.46708136796951294,5.455127716064453,0.0009999998518951869,3951 MB,65.48
1,15,26.76922607421875,0.011654693633317947,0.5087628960609436,5.25324010848999,0.0009999998299817206,3951 MB,65.48
1,16,35.13265609741211,0.009278879500925541,0.7300976514816284,5.000862121582031,0.0009999998065569815,3951 MB,65.48
1,17,34.27885437011719,0.011196347884833813,0.7081190943717957,4.834453582763672,0.000999999781620969,3951 MB,65.48
1,18,31.35055923461914,0.010722659528255463,0.6386558413505554,4.732059001922607,0.0009999997551736837,3951 MB,65.48
1,19,30.90984344482422,0.011604460887610912,0.6271376609802246,4.663890838623047,0.0009999997272151255,3951 MB,65.48
1,20,26.798095703125,0.011572427116334438,0.526226282119751,4.591802597045898,0.0009999996977452944,3951 MB,65.48
1,21,25.69413948059082,0.012714277021586895,0.49697914719581604,4.543546199798584,0.0009999996667641906,3951 MB,65.48
1,22,22.649330139160156,0.010912340134382248,0.4238832890987396,4.6027655601501465,0.000999999634271814,3951 MB,65.48
1,23,15.654951095581055,0.012455714866518974,0.2470417469739914,4.527709007263184,0.000999999600268165,3951 MB,65.48
